Name,Scientific Name,Weight(kg),Height(cm),Conservation Status,Commonly Found,Food Habit,Average age
Javan Gibbon ,(Hylobates moloch),8,52.5,Endangered,Java,Frugivorous,25
Northern Muriqui ,(Brachyteles hypoxanthus),9,72.5,Endangered,Southeast Brazil,Folivore,25
Red-shanked Douc ,(Pygathrix nemaeus),10.5,65,Endangered,Vietnam,Omnivores,25
Roloway Monkey ,(Cercopithecus roloway),8.5,55,Endangered,West Africa,Frugivorous,25
Cotton-top Tamarin,(Saguinus oedipus),0.5,22.5,Endangered,Colombia,Omnivores,13
Hainan Gibbon,(Nomascus hainanus),6,55,Endangered,China,Frugivorous,28
White-headed Langur ,(Trachypithecus poliocephalus),11,65,Endangered,Cambodia,Frugivorous,23
Zanzibar Red Colobus, (Piliocolobus kirkii),5,55,Endangered,East Africa,Frugivorous,25
Sri Lankan Purple-faced Langur ,(Trachypithecus vetulus),6.5,57,Endangered,Srilanka,Herbivorous,30
White-cheeked Spider Monkey ,(Ateles marginatus),7,47,Endangered,South America,Frugivorous,28
Kipunji ,(Rungwecebus kipunji),9,67.5,Endangered,Tanzania,Frugivorous,23
